stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
HEN2PLAC,HEN2PLAC,Espace Lumière,109 Rue Elie Gruyelle 62110 Hénin-Beaumont,50.42057372839282,2.950348025851829,,,0,,0
CAR2ARAG,CAR2ARAG,Aragon,111 Rue Cyprien Quinet 62220 Carvin,50.491706054420725,2.976955414349559,,,0,,0
DIV1MAIR,DIV1MAIR,Mairie,14 Rue Louis Pasteur 62460 Divion,50.47281635218044,2.503763975128708,,,0,,1
HAR1CIME,HAR1CIME,Verdun,2 Rue du Chemin de Fer 62440 Harnes,50.44645643495252,2.886448621692296,,,0,,1
CAT2SNIC,CAT2SNIC,Castelain,36 Route Nationale 62260 Cauchy-à-la-Tour,50.510170121052255,2.442687704896106,,,0,,1
BIB1CDVI,BIB1CDVI,Cœur de Ville,14 Rue Francois Mitterrand 62138 Billy-Berclau,50.52304514583276,2.8712729748606547,,,0,,0
CAR2BH30,CAR2BH30,Notre Dame,15 Boulevard de la Justice 62220 Carvin,50.4897446512722,2.9425304945219524,,,0,,1
MER2DEPO,MER2DEPO,Flöha,12 Rue Roger Marechal 62680 Méricourt,50.4051871870322,2.8605851116376586,,,0,,0
REB1PLAC,REB1PLAC,Place,10 Route Nationale 62150 Rebreuve-Ranchicourt,50.4384194108534,2.55418397858942,,,0,,1
CAR1BH23,CAR1BH23,Carembault,124 Rue de Provin 62220 Carvin,50.49794953165227,2.9434313162875805,,,0,,1
FRE1SALE,FRE1SALE,Salengro,26 Rue Roger Salengro 62150 Fresnicourt-le-Dolmen,50.42714007127375,2.616934146407599,,,0,,1
BRU2MLEC,BRU2MLEC,Maréchal Leclerc,142 Rue de la République 62700 Bruay-la-Buissière,50.48006903332095,2.5430734243425315,,,0,,0
DIV1PCL2,DIV1PCL2,Polyclinique,22 Rue Baudelaire 62460 Divion,50.47739213908169,2.489817724627884,,,0,,1
BAR2RFOC,BAR2RFOC,Rue Foch,243 Rue de Fresnicourt 62620 Barlin,50.44767180184445,2.611652745859358,,,0,,0
HAR1SALI,HAR1SALI,Château Salins,28 Rue de Château Salins 62440 Harnes,50.44279784635791,2.8798891683718737,,,0,,0
HEN1LFON,HEN1LFON,Capelle,507 Rue Gustave Delory 62110 Hénin-Beaumont,50.401098807018094,2.938373832779752,,,0,,0
AIX2PNOU,AIX2PNOU,Noulette,16 Rue de la Chapelle 62160 Aix-Noulette,50.41515105506259,2.720739982909844,,,0,,0
